,IATA,ICAO,Airport name,Location served,Time,DST
287,ANO,FQAG,Angoche Airport,"Angoche, Mozambique",UTC+02:00,
288,ANP,KANP,Lee Airport,"Annapolis, Maryland, United States",UTC−05:00,Mar-Nov
289,ANQ,KANQ,Tri-State Steuben County Airport,"Angola, Indiana, United States",UTC−05:00,Mar-Nov
290,ANR,EBAW,Antwerp International Airport,"Antwerp, Belgium",UTC+01:00,Mar-Oct
291,ANS,SPHY,Andahuaylas Airport,"Andahuaylas, Peru",UTC−05:00,
292,ANU,TAPA,V. C. Bird International Airport,"Antigua, Antigua and Barbuda",UTC−04:00,
293,ANV,PANV,Anvik Airport,"Anvik, Alaska, United States",UTC−09:00,Mar-Nov
294,ANW,KANW,Ainsworth Regional Airport,"Ainsworth, Nebraska, United States",UTC−06:00,Mar-Nov
295,ANX,ENAN,"Andøya Airport, Andenes","Andenes, Norway",UTC+01:00,Mar-Oct
296,ANY,KANY,Anthony Municipal Airport,"Anthony, Kansas, United States",UTC−06:00,Mar-Nov
297,ANZ,,Angus Downs Airport,"Angus Downs, Northern Territory, Australia",UTC+09:30,
298,AOA,,Aroa Airport,"Aroa, Papua New Guinea",UTC+10:00,
299,AOB,,Annanberg Airport,"Annanberg, Papua New Guinea",UTC+10:00,
300,AOC,EDAC,Leipzig–Altenburg Airport,"Altenburg, Thuringia, Germany",UTC+01:00,Mar-Oct
301,AOD,,Abou-Deïa Airport,"Abou-Deïa, Chad",UTC+01:00,
302,AOE,LTBY,Anadolu Airport,"Eskişehir, Turkey",UTC+03:00,
303,AOG,ZYAS,Anshan Teng'ao Airport,"Anshan, Liaoning, China",UTC+08:00,
304,AOH,KAOH,Lima Allen County Airport,"Lima, Ohio, United States",UTC−05:00,Mar-Nov
305,AOI,LIPY,Ancona Falconara Airport,"Ancona, Marche, Italy",UTC+01:00,Mar-Oct
306,AOJ,RJSA,Aomori Airport,"Aomori, Honshu, Japan",UTC+09:00,
307,AOK,LGKP,Karpathos Island National Airport,"Karpathos, Greece",UTC+02:00,Mar-Oct
308,AOL,SARL,Paso de los Libres Airport,"Paso de los Libres, Corrientes, Argentina",UTC−03:00,
309,AOM,,Adam Airport[1],"Adam, Oman",UTC+04:00,
310,AON,,Arona Airport,"Arona, Papua New Guinea",UTC+10:00,
311,AOO,KAOO,Altoona–Blair County Airport,"Altoona, Pennsylvania, United States",UTC−05:00,Mar-Nov
312,AOP,,Alférez FAP Alfredo Vladimir Sara Bauer Airport,"Andoas, Peru",UTC−05:00,
313,AOR,WMKA,Sultan Abdul Halim Airport,"Alor Setar, Kedah, Malaysia",UTC+08:00,
314,AOS,,Amook Bay Seaplane Base (FAA: AK81),"Amook Bay, Alaska, United States",UTC−09:00,Mar-Nov
315,AOT,LIMW,Aosta Valley Airport,"Aosta, Aosta Valley, Italy",UTC+01:00,Mar-Oct
316,AOU,VLAP,Attapeu International Airport,"Attapeu, Laos",UTC+07:00,
317,APA,KAPA,Centennial Airport,"Denver, Colorado, United States",UTC−07:00,Mar-Nov
318,APB,SLAP,Apolo Airport,"Apolo, Bolivia",UTC−04:00,
319,APC,KAPC,Napa County Airport,"Napa, California, United States",UTC−08:00,Mar-Nov
320,APF,KAPF,Naples Municipal Airport,"Naples, Florida, United States",UTC−05:00,Mar-Nov
321,APG,KAPG,Phillips Army Airfield,"Aberdeen Proving Ground, Maryland, United States",UTC−05:00,Mar-Nov
322,APH,KAPH,A.P. Hill Army Airfield,"Fort A.P. Hill, Virginia, United States",UTC−05:00,Mar-Nov
323,API,SKAP,Captain Luis F. Gómez Niño Air Base,"Apiay, Colombia",UTC−05:00,
324,APK,NTGD,Apataki Airport,"Apataki, Tuamotus, French Polynesia",UTC−10:00,
325,APL,FQNP,Nampula Airport,"Nampula, Mozambique",UTC+02:00,
326,APN,KAPN,Alpena County Regional Airport,"Alpena, Michigan, United States",UTC−05:00,Mar-Nov
327,APO,SKLC,Antonio Roldán Betancourt Airport,"Apartadó, Colombia",UTC−05:00,
328,APP,,Asapa Airport,"Asapa, Papua New Guinea",UTC+10:00,
329,APQ,SNAL,Arapiraca Airport,"Arapiraca, Alagoas, Brazil",UTC−03:00,
330,APR,AYPE,April River Airport,"April River, Papua New Guinea",UTC+10:00,
331,APS,SWNS,Anápolis Airport,"Anápolis, Goiás, Brazil",UTC−03:00,Oct-Feb
332,APT,KAPT,Marion County Airport (Brown Field),"Jasper, Tennessee, United States",UTC−06:00,Mar-Nov
333,APU,SSAP,Apucarana Airport,"Apucarana, Paraná, Brazil",UTC−03:00,Oct-Feb
334,APV,KAPV,Apple Valley Airport,"Apple Valley, California, United States",UTC−08:00,Mar-Nov
335,APW,NSFA,Faleolo International Airport,"Apia, Upolu Island, Samoa",UTC+13:00,Sep-Apr
336,APX,SSOG,Arapongas Airport,"Arapongas, Paraná, Brazil",UTC−03:00,Oct-Feb
337,APY,SNAI,Alto Parnaíba Airport,"Alto Parnaíba, Maranhão, Brazil",UTC−03:00,
338,APZ,SAHZ,Zapala Airport,"Zapala, Neuquén, Argentina",UTC−03:00,
339,AQA,SBAQ,Araraquara Airport,"Araraquara, São Paulo, Brazil",UTC−03:00,Oct-Feb
340,AQB,MGQC,Quiché Airport,"Quiché, Guatemala",UTC−06:00,
341,AQG,ZSAQ,Anqing Tianzhushan Airport,"Anqing, Anhui, China",UTC+08:00,
342,AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport,"Qaisumah / Hafar Al-Batin, Saudi Arabia",UTC+03:00,
343,AQJ,OJAQ,King Hussein International Airport,"Aqaba, Jordan",UTC+02:00,Mar-Oct
344,AQM,,Ariquemes Airport,"Ariquemes, Rondônia, Brazil",UTC−04:00,
345,AQP,SPQU,Rodríguez Ballón International Airport,"Arequipa, Peru",UTC−05:00,
346,AQS,,Saqani Airport,"Saqani, Fiji",UTC+12:00,Nov-Jan
347,AQY,,Girdwood Airport[1],"Girdwood, Alaska, United States",UTC−09:00,Mar-Nov
348,ARA,KARA,Acadiana Regional Airport,"New Iberia, Louisiana, United States",UTC−06:00,Mar-Nov
349,ARB,KARB,Ann Arbor Municipal Airport,"Ann Arbor, Michigan, United States",UTC−05:00,Mar-Nov
350,ARC,PARC,Arctic Village Airport,"Arctic Village, Alaska, United States",UTC−09:00,Mar-Nov
351,ARD,WATM,Alor Island Airport,"Alor Island, Indonesia",UTC+08:00,
352,ARE,TJAB,Antonio (Nery) Juarbe Pol Airport (FAA: ABO),"Arecibo, Puerto Rico, United States",UTC−04:00,
353,ARF,,Acaricuara Airport,"Acaricuara, Colombia",UTC−05:00,
354,ARG,KARG,Walnut Ridge Regional Airport,"Walnut Ridge, Arkansas, United States",UTC−06:00,Mar-Nov
355,ARH,ULAA,Talagi Airport,"Arkhangelsk, Arkhangelsk Oblast, Russia",UTC+03:00,
356,ARI,SCAR,Chacalluta International Airport,"Arica, Chile",UTC−04:00,Aug-May
357,ARJ,WAJA,Arso Airport,"Arso, Indonesia",UTC+09:00,
358,ARK,HTAR,Arusha Airport,"Arusha, Tanzania",UTC+03:00,
359,ARL,DFER,Arly Airport,"Arly, Burkina Faso",UTC+00:00,
360,ARM,YARM,Armidale Airport,"Armidale, New South Wales, Australia",UTC+10:00,Oct-Apr
361,ARN,ESSA,Stockholm Arlanda Airport,"Stockholm, Sweden",UTC+01:00,Mar-Oct
362,ARO,,Arboletes Airport,"Arboletes, Colombia",UTC−05:00,
363,ARP,,Aragip Airport,"Aragip, Papua New Guinea",UTC+10:00,
364,ARQ,SKAT[3],El Troncal Airport,"Arauquita, Colombia",UTC−05:00,
365,ARR,SAVR,Alto Río Senguer Airport,"Alto Río Senguer, Chubut, Argentina",UTC−03:00,
366,ARS,SWEC,Aragarças Airport,"Aragarças, Goiás, Brazil",UTC−03:00,Oct-Feb
367,ART,KART,Watertown International Airport,"Watertown, New York, United States",UTC−05:00,Mar-Nov
368,ARU,SBAU,Araçatuba Airport,"Araçatuba, São Paulo, Brazil",UTC−03:00,Oct-Feb
369,ARV,KARV,Lakeland Airport (Noble F. Lee Memorial Field),"Minocqua / Woodruff, Wisconsin, United States",UTC−06:00,Mar-Nov
370,ARW,LRAR,Arad International Airport,"Arad, Romania",UTC+02:00,Mar-Oct
371,ARY,YARA,Ararat Airport,"Ararat, Victoria, Australia",UTC+10:00,Oct-Apr
372,ARZ,FNZE,N'zeto Airport,"N'zeto, Angola",UTC+01:00,
373,ASA,HHSB,Assab International Airport,"Assab, Eritrea",UTC+03:00,
374,ASB,UTAA,Ashgabat International Airport,"Ashgabat, Turkmenistan",UTC+05:00,
375,ASC,SLAS,Ascención de Guarayos Airport,"Ascención de Guarayos, Bolivia",UTC−04:00,
376,ASD,MYAF,Andros Town International Airport,"Andros Town, Andros Island, Bahamas",UTC−05:00,Mar-Nov
377,ASE,KASE,Aspen–Pitkin County Airport (Sardy Field),"Aspen, Colorado, United States",UTC−07:00,Mar-Nov
378,ASF,URWA,Narimanovo Airport,"Astrakhan, Astrakhan Oblast, Russia",UTC+04:00,
379,ASG,NZAS,Ashburton Aerodrome,"Ashburton, New Zealand",UTC+12:00,Sep-Apr
380,ASH,KASH,Nashua Airport (Boire Field),"Nashua, New Hampshire, United States",UTC−05:00,Mar-Nov
381,ASI,FHAW,RAF Ascension Island (Wideawake Field),"Ascension Island, British Overseas Territory
of Saint Helena, Ascension and Tristan da Cunha",UTC+00:00,
382,ASJ,RJKA,Amami Airport,"Amami, Satsunan Islands, Japan",UTC+09:00,
383,ASK,DIYO,Yamoussoukro Airport,"Yamoussoukro, Côte d'Ivoire",UTC+00:00,
384,ASL,KASL,Harrison County Airport,"Marshall, Texas, United States",UTC−06:00,Mar-Nov
385,ASM,HHAS,Asmara International Airport,"Asmara, Eritrea",UTC+03:00,
386,ASN,KASN,Talladega Municipal Airport,"Talladega, Alabama, United States",UTC−06:00,Mar-Nov
387,ASO,HASO,Asosa Airport,"Asosa, Ethiopia",UTC+03:00,
388,ASP,YBAS,Alice Springs Airport,"Alice Springs, Northern Territory, Australia",UTC+09:30,
389,ASQ,,Austin Airport (FAA: 9U3),"Austin, Nevada, United States",UTC−08:00,Mar-Nov
390,ASR,LTAU,Erkilet International Airport,"Kayseri, Turkey",UTC+03:00,
391,AST,KAST,Astoria Regional Airport,"Astoria, Oregon, United States",UTC−08:00,Mar-Nov
392,ASU,SGAS,Silvio Pettirossi International Airport,"Asunción, Paraguay",UTC−04:00,Oct-Mar
393,ASV,HKAM,Amboseli Airport,"Amboseli, Kenya",UTC+03:00,
394,ASW,HESN,Aswan International Airport,"Aswan, Egypt",UTC+02:00,
395,ASX,KASX,John F. Kennedy Memorial Airport,"Ashland, Wisconsin, United States",UTC−06:00,Mar-Nov
396,ASY,KASY,Ashley Municipal Airport,"Ashley, North Dakota, United States",UTC−06:00,Mar-Nov
397,ASZ,,Asirim Airport,"Asirim, Papua New Guinea",UTC+10:00,
398,ATA,SPHZ,Comandante FAP Germán Arias Graziani Airport,"Huaraz, Peru",UTC−05:00,
399,ATB,HSAT,Atbara Airport,"Atbara, Sudan",UTC+03:00,
400,ATC,MYCA,Arthur's Town Airport,"Arthur's Town, Cat Island, Bahamas",UTC−05:00,Mar-Nov
401,ATD,AGAT,Uru Harbour Airport,"Atoifi, Malaita, Solomon Islands",UTC+11:00,
402,ATE,,Antlers Municipal Airport (FAA: 80F),"Antlers, Oklahoma, United States",UTC−06:00,Mar-Nov
403,ATF,SEAM,Chachoan Airport,"Ambato, Ecuador",UTC−05:00,
404,ATG,,PAF Base Minhas,"Attock, Pakistan",UTC+05:00,
405,ATH,LGAV,Athens International Airport (Eleftherios Venizelos Airport),"Athens, Greece",UTC+02:00,Mar-Oct
406,ATI,SUAG,Artigas International Airport,"Artigas, Uruguay",UTC−03:00,
407,ATJ,FMME,Antsirabe Airport,"Antsirabe, Madagascar",UTC+03:00,
408,ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport,"Atqasuk, Alaska, United States",UTC−09:00,Mar-Nov
409,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia, United States",UTC−05:00,Mar-Nov
410,ATM,SBHT,Altamira Airport,"Altamira, Pará, Brazil",UTC−03:00,
411,ATN,AYNX,Namatanai Airport,"Namatanai, Papua New Guinea",UTC+10:00,
412,ATO,KUNI,Ohio University Airport (Snyder Field) (FAA: UNI),"Athens / Albany, Ohio, United States",UTC−05:00,Mar-Nov
413,ATP,AYAI,Aitape Airstrip,"Aitape, Papua New Guinea",UTC+10:00,
414,ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,"Amritsar, Punjab, India",UTC+05:30,
415,ATR,GQPA,Atar International Airport,"Atar, Mauritania",UTC+00:00,
416,ATS,KATS,Artesia Municipal Airport,"Artesia, New Mexico, United States",UTC−07:00,Mar-Nov
417,ATT,,Atmautluak Airport (FAA: 4A2),"Atmautluak, Alaska, United States",UTC−09:00,Mar-Nov
418,ATU,PAAT,Casco Cove Coast Guard Station,"Attu Island, Alaska, United States",UTC−10:00,Mar-Nov
419,ATV,FTTI,Ati Airport,"Ati, Chad",UTC+01:00,
420,ATW,KATW,Appleton International Airport,"Appleton, Wisconsin, United States",UTC−06:00,Mar-Nov
421,ATX,,Atbasar Airport,"Atbasar, Kazakhstan",UTC+06:00,
422,ATY,KATY,Watertown Regional Airport,"Watertown, South Dakota, United States",UTC−06:00,Mar-Nov
423,ATZ,HEAT,Assiut Airport,"Assiut, Egypt",UTC+02:00,
424,AUA,TNCA,Queen Beatrix International Airport,"Aruba, Kingdom of the Netherlands",UTC−04:00,
425,AUC,SKUC,Santiago Pérez Quiroz Airport,"Arauca, Colombia",UTC−05:00,
426,AUD,YAGD,Augustus Downs Airport,"Augustus Downs Station, Queensland, Australia",UTC+10:00,
427,AUE,,Abu Rudeis Airport,"Abou Redis, Egypt",UTC+02:00,
428,AUF,LFLA,Auxerre – Branches Aerodrome,"Auxerre, Burgundy, France",UTC+01:00,Mar-Oct
429,AUG,KAUG,Augusta State Airport,"Augusta, Maine, United States",UTC−05:00,Mar-Nov
430,AUH,OMAA,Abu Dhabi International Airport,"Abu Dhabi, United Arab Emirates",UTC+04:00,
431,AUI,AYND,Aua Island Airport,"Aua Island, Papua New Guinea",UTC+10:00,
432,AUJ,AYAT,Ambunti Airport,"Ambunti, Papua New Guinea",UTC+10:00,
433,AUK,,Alakanuk Airport,"Alakanuk, Alaska, United States",UTC−09:00,Mar-Nov
434,AUL,,Aur Airport,"Aur Atoll, Marshall Islands",UTC+12:00,
435,AUM,KAUM,Austin Municipal Airport,"Austin, Minnesota, United States",UTC−06:00,Mar-Nov
436,AUN,KAUN,Auburn Municipal Airport,"Auburn, California, United States",UTC−08:00,Mar-Nov
437,AUO,KAUO,Auburn University Regional Airport,"Auburn, Alabama, United States",UTC−06:00,Mar-Nov
438,AUP,AYAG,Agaun Airport,"Agaun, Papua New Guinea",UTC+10:00,
439,AUQ,NTMN,Atuona Airport,"Atuona, Marquesas Islands, French Polynesia",UTC−09:30,
440,AUR,LFLW,Aurillac – Tronquières Airport,"Aurillac, Auvergne, France",UTC+01:00,Mar-Oct
441,AUS,KAUS,Austin–Bergstrom International Airport,"Austin, Texas, United States",UTC−06:00,Mar-Nov
442,AUT,WPAT,Atauro Airport,"Atauro Island, East Timor",UTC+09:00,
443,AUU,YAUR,Aurukun Airport,"Aurukun, Queensland, Australia",UTC+10:00,
444,AUV,AYUM,Aumo Airport,"Aumo, Papua New Guinea",UTC+10:00,
445,AUW,KAUW,Wausau Downtown Airport,"Wausau, Wisconsin, United States",UTC−06:00,Mar-Nov
446,AUX,SWGN,Araguaína Airport,"Araguaína, Tocantins, Brazil",UTC−03:00,
447,AUY,NVVA,Anatom Airport,"Anatom Island, Tafea, Vanuatu",UTC+11:00,
448,AUZ,KARR,Aurora Municipal Airport (FAA: ARR),"Aurora, Illinois, United States",UTC−06:00,Mar-Nov
449,AVA,ZUAS,Anshun Huangguoshu Airport,"Anshun, Guizhou, China",UTC+08:00,
450,AVB,LIPA,Aviano Air Base,"Aviano, Pordenone, Italy",UTC+01:00,Mar-Oct
451,AVG,YAUV,Auvergne Airport,"Auvergne Station, Northern Territory, Australia",UTC+09:30,
452,AVI,MUCA,Máximo Gómez Airport,"Ciego de Ávila, Cuba",UTC−05:00,Mar-Nov
453,AVK,ZMAH,Arvaikheer Airport,"Arvaikheer, Mongolia",UTC+08:00,
454,AVL,KAVL,Asheville Regional Airport,"Asheville, North Carolina, United States",UTC−05:00,Mar-Nov
455,AVN,LFMV,Avignon – Provence Airport,"Avignon, Provence-Alpes-Côte d'Azur, France",UTC+01:00,Mar-Oct
456,AVO,KAVO,Avon Park Executive Airport,"Avon Park, Florida, United States",UTC−05:00,Mar-Nov
457,AVP,KAVP,Wilkes-Barre/Scranton International Airport,"Wilkes-Barre / Scranton, Pennsylvania, United States",UTC−05:00,Mar-Nov
458,AVU,AGGJ,Avu Avu Airport,"Avu Avu, Guadalcanal, Solomon Islands",UTC+11:00,
459,AVV,YMAV,Avalon Airport,"Avalon, Victoria, Australia",UTC+10:00,Oct-Apr
460,AVW,KAVQ,Marana Regional Airport (FAA: AVQ),"Tucson, Arizona, United States",UTC−07:00,
461,AVX,KAVX,Catalina Airport,"Avalon, California, United States",UTC−08:00,Mar-Nov
462,AWA,HALA,Awasa Airport,"Awasa, Ethiopia",UTC+03:00,
463,AWB,AYAW,Awaba Airport,"Awaba, Papua New Guinea",UTC+10:00,
464,AWD,NVVB,Aniwa Airport,"Aniwa Island, Tafea, Vanuatu",UTC+11:00,
465,AWE,,Alowe Airport,"Alowe, Gabon",UTC+01:00,
466,AWK,PWAK,Wake Island Airfield,"Wake Island, United States Minor Outlying Islands",UTC+12:00,
467,AWM,KAWM,West Memphis Municipal Airport,"West Memphis, Arkansas, United States",UTC−06:00,Mar-Nov
468,AWN,,Alton Downs Airport,"Alton Downs, South Australia, Australia",UTC+09:30,Oct-Apr
469,AWP,,Austral Downs Airport,"Austral Downs, Northern Territory, Australia",UTC+09:30,
470,AWR,,Awar Airport,"Awar, Papua New Guinea",UTC+10:00,
471,AWZ,OIAW,Ahvaz International Airport,"Ahvaz, Iran",UTC+03:30,Mar-Sep
472,AXA,TQPF,Clayton J. Lloyd International Airport,"The Valley, British Overseas Territory of Anguilla",UTC−04:00,
473,AXB,,Maxson Airfield (FAA: 89N),"Alexandria Bay, New York, United States",UTC−05:00,Mar-Nov
474,AXC,YAMC,Aramac Airport,"Aramac, Queensland, Australia",UTC+10:00,
475,AXD,LGAL,Alexandroupoli Airport (Dimokritos Airport),"Alexandroupoli, Greece",UTC+02:00,Mar-Oct
476,AXE,,Xanxere Airport,"Xanxerê, Santa Catarina, Brazil",UTC−03:00,Oct-Feb
477,AXF,,Alxa Left Banner Bayanhot Airport,"Alxa Left Banner, Inner Mongolia, China",UTC+08:00,
478,AXG,KAXA,Algona Municipal Airport (FAA: AXA),"Algona, Iowa, United States",UTC−06:00,Mar-Nov
479,AXJ,RJDA,Amakusa Airfield[1],"Amakusa, Amakusa Islands, Japan",UTC+09:00,
480,AXK,OYAT,Ataq Airport,"Ataq, Yemen",UTC+03:00,
481,AXL,,Alexandria Airport,"Alexandria Station, Northern Territory, Australia",UTC+09:30,
482,AXM,SKAR,El Edén International Airport,"Armenia, Colombia",UTC−05:00,
483,AXN,KAXN,Alexandria Municipal Airport (Chandler Field),"Alexandria, Minnesota, United States",UTC−06:00,Mar-Nov
484,AXP,MYAP,Spring Point Airport,"Spring Point, Acklins Island, Bahamas",UTC−05:00,Mar-Nov
485,AXR,NTGU,Arutua Airport,"Arutua, Tuamotus, French Polynesia",UTC−10:00,
486,AXS,KAXS,Altus/Quartz Mountain Regional Airport,"Altus, Oklahoma, United States",UTC−06:00,Mar-Nov
487,AXT,RJSK,Akita Airport,"Akita, Honshu, Japan",UTC+09:00,
488,AXU,HAAX,Axum Airport,"Axum, Ethiopia",UTC+03:00,
489,AXV,KAXV,Neil Armstrong Airport,"Wapakoneta, Ohio, United States",UTC−05:00,Mar-Nov
490,AXX,KAXX,Angel Fire Airport,"Angel Fire, New Mexico, United States",UTC−07:00,Mar-Nov
491,AYA,,Ayapel Airport,"Ayapel, Colombia",UTC−05:00,
492,AYC,,Ayacucho Airport,"Ayacucho, Colombia",UTC−05:00,
493,AYD,,Alroy Downs Airport,"Alroy Downs, Northern Territory, Australia",UTC+09:30,
494,AYG,SKYA,Yaguara Airport,"Yaguara, Colombia",UTC−05:00,
495,AYI,,Yari Airport,"Yari, Colombia",UTC−05:00,
496,AYK,UAUR,Arkalyk Airport,"Arkalyk, Kazakhstan",UTC+06:00,
497,AYL,,Anthony Lagoon Airport,"Anthony Lagoon, Northern Territory, Australia",UTC+09:30,
498,AYM,,Yas Island Seaplane Base[1],"Yas Island, Abu Dhabi, United Arab Emirates",UTC+04:00,
499,AYN,ZHAY,Anyang Airport,"Anyang, Henan, China",UTC+08:00,
500,AYO,SGAY,Juan de Ayolas Airport,"Ayolas, Paraguay",UTC−04:00,Oct-Mar
501,AYP,SPHO,Coronel FAP Alfredo Mendívil Duarte Airport,"Ayacucho, Peru",UTC−05:00,
502,AYQ,YAYE,Ayers Rock Airport,"Yulara, Northern Territory, Australia",UTC+09:30,
503,AYR,YAYR,Ayr Airport,"Ayr, Queensland, Australia",UTC+10:00,
504,AYS,KAYS,Waycross–Ware County Airport,"Waycross, Georgia, United States",UTC−05:00,Mar-Nov
505,AYT,LTAI,Antalya Airport,"Antalya, Turkey",UTC+03:00,
506,AYU,AYAY,Aiyura Airport,"Aiyura, Papua New Guinea",UTC+10:00,
507,AYW,,Ayawasi Airport,"Ayawasi, Indonesia",UTC+09:00,
508,AYY,,Arugam Bay Seaplane Base[1],"Pottuvil, Sri Lanka",UTC+05:30,
509,AZA,KIWA,Phoenix–Mesa Gateway Airport (FAA: IWA),"Phoenix, Arizona, United States",UTC−07:00,
510,AZB,,Amazon Bay Airport,"Amazon Bay, Papua New Guinea",UTC+10:00,
511,AZD,OIYY,Shahid Sadooghi Airport,"Yazd, Iran",UTC+03:30,Mar-Sep
512,AZG,,Pablo L. Sidar Airport,"Apatzingán, Michoacán, Mexico",UTC−06:00,Apr-Oct
513,AZI,OMAD,Al Bateen Executive Airport,"Abu Dhabi, United Arab Emirates",UTC+04:00,
514,AZL,SWTU[4],Fazenda Tucunaré Airport[1],"Sapezal, Mato Grosso, Brazil",UTC−04:00,Oct-Feb
515,AZN,UTKA,Andizhan Airport,"Andizhan, Uzbekistan",UTC+05:00,
516,AZO,KAZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, Michigan, United States",UTC−05:00,Mar-Nov
517,AZP,MMJC,Jorge Jiménez Cantú National Airport,"Ciudad López Mateos, State of Mexico, Mexico",UTC−06:00,Apr-Oct
518,AZR,DAUA,Touat-Cheikh Sidi Mohamed Belkebir Airport,"Adrar, Algeria",UTC+01:00,
519,AZS,MDCY,Samaná El Catey International Airport,"El Catey, Dominican Republic",UTC−04:00,
520,AZT,,Zapatoca Airport,"Zapatoca, Colombia",UTC−05:00,
521,AZZ,FNAM,Ambriz Airport,"Ambriz, Angola",UTC+01:00,
522,BAA,AYBL,Bialla Airport,"Bialla, Papua New Guinea",UTC+10:00,
523,BAB,KBAB,Beale Air Force Base,"Marysville, California, United States",UTC−08:00,Mar-Nov
524,BAC,,Barranca de Upia Airport,"Barranca de Upía, Colombia",UTC−05:00,
525,BAD,KBAD,Barksdale Air Force Base,"Bossier City, Louisiana, United States",UTC−06:00,Mar-Nov
526,BAE,LFMR,Barcelonnette – Saint-Pons Airport,"Barcelonnette, Alpes-de-Haute-Provence, France",UTC+01:00,Mar-Oct
527,BAF,KBAF,Westfield-Barnes Regional Airport,"Westfield / Springfield, Massachusetts, United States",UTC−05:00,Mar-Nov
528,BAG,RPUB,Loakan Airport,"Baguio, Philippines",UTC+08:00,
529,BAH,OBBI,Bahrain International Airport,"Manama, Bahrain",UTC+03:00,
530,BAI,MRBA,Buenos Aires Airport,"Buenos Aires, Costa Rica",UTC−06:00,
531,BAJ,,Bali Airport,"Bali, Papua New Guinea",UTC+10:00,
532,BAK[1],,metropolitan area2,"Baku, Azerbaijan",UTC+04:00,
533,BAL,LTCJ,Batman Airport,"Batman, Turkey",UTC+03:00,
534,BAM,KBAM,Battle Mountain Airport (Lander County Airport),"Battle Mountain, Nevada, United States",UTC−08:00,Mar-Nov
535,BAN,FZVR,Basongo Airport,"Basongo, Democratic Republic of the Congo",UTC+02:00,
536,BAP,,Baibara Airport,"Baibara, Papua New Guinea",UTC+10:00,
537,BAQ,SKBQ,Ernesto Cortissoz International Airport,"Barranquilla, Colombia",UTC−05:00,
538,BAR,,Qionghai Bo'ao Airport,"Qionghai, Hainan, China",UTC+08:00,
539,BAS,AGGE,Balalae Airport,"Balalae Island, Western, Solomon Islands",UTC+11:00,
540,BAT,SBBT,Chafei Amsei Airport,"Barretos, São Paulo, Brazil",UTC−03:00,Oct-Feb
541,BAV,ZBOW,Baotou Airport,"Baotou, Inner Mongolia, China",UTC+08:00,
542,BAW,,Biawonque Airport,"Biawonque, Gabon",UTC+01:00,
543,BAX,UNBB,Barnaul Airport,"Barnaul, Altai Krai, Russia",UTC+07:00,
544,BAY,LRBM,Baia Mare Airport,"Baia Mare, Romania",UTC+02:00,Mar-Oct
545,BAZ,SWBC,Barcelos Airport,"Barcelos, Amazonas, Brazil",UTC−04:00,
546,BBA,SCBA,Balmaceda Airport,"Balmaceda, Chile",UTC−04:00,Aug-May
547,BBB,KBBB,Benson Municipal Airport,"Benson, Minnesota, United States",UTC−06:00,Mar-Nov
548,BBC,KBYY,Bay City Municipal Airport (FAA: BYY),"Bay City, Texas, United States",UTC−06:00,Mar-Nov
549,BBD,KBBD,Curtis Field,"Brady, Texas, United States",UTC−06:00,Mar-Nov
550,BBG,NGTU,Butaritari Atoll Airport,"Butaritari Atoll, Kiribati",UTC+12:00,
551,BBH,EDBH,Stralsund–Barth Airport,"Stralsund / Barth, Mecklenburg-Vorpommern, Germany",UTC+01:00,Mar-Oct
552,BBI,VEBS,Biju Patnaik International Airport,"Bhubaneswar, Odisha, India",UTC+05:30,
553,BBJ,EDRB,Bitburg Airport (former Bitburg Air Base),"Bitburg, Rhineland-Palatinate, Germany",UTC+01:00,Mar-Oct
554,BBK,FBKE,Kasane Airport,"Kasane, Botswana",UTC+02:00,
555,BBL,YLLE,Ballera Airport,"Ballera, Queensland, Australia",UTC+10:00,
556,BBM,VDBG,Battambang Airport,"Battambang, Cambodia",UTC+07:00,
557,BBN,WBGZ,Bario Airport,"Bario, Sarawak, Malaysia",UTC+08:00,
558,BBO,HCMI,Berbera Airport,"Berbera, Somalia",UTC+03:00,
559,BBP,EGHJ,Bembridge Airport,"Bembridge, England, United Kingdom",UTC±00:00,Mar-Oct
560,BBQ,TAPH,Barbuda Codrington Airport,"Barbuda, Antigua and Barbuda",UTC−04:00,
561,BBR,TFFB,Baillif Airport,"Basse-Terre, Guadeloupe",UTC−04:00,
562,BBS,EGLK,Blackbushe Airport,"Yateley, England, United Kingdom",UTC±00:00,Mar-Oct
563,BBT,FEFT,Berbérati Airport,"Berbérati, Central African Republic",UTC+01:00,
564,BBU,LRBS,Aurel Vlaicu International Airport (Băneasa Airport),"Bucharest, Romania",UTC+02:00,Mar-Oct
